State,County,POP_COUNTY,AREA_COUNTY,POP_URBAN,AREA_URBAN,POP_RURAL,AREA_RURAL,Wind Quality Class,Land km2,Forest Cover (%),Average Temp (C),Average elevation,Difference elevation,% that is Public Land,% that is Private Land,Average Wind Speed (mph),Installed Wind Capacity (MW),Nuclear Year to Date (MW/h),Unnamed: 11
"Alabama","Autauga",54571.0,1539582278.0,31650.0,50882539.0,22921.0,1488699739.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Baldwin",182265.0,4117521611.0,105205.0,275001368.0,77060.0,3842520243.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Barbour",27457.0,2291818968.0,8844.0,17447656.0,18613.0,2274371312.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Bibb",22915.0,1612480789.0,7252.0,18903236.0,15663.0,1593577553.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Blount",57322.0,1669961855.0,5760.0,10874700.0,51562.0,1659087155.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Bullock",10914.0,1613056905.0,5307.0,12675709.0,5607.0,1600381196.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Butler",20947.0,2011976894.0,6026.0,10503875.0,14921.0,2001473019.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Calhoun",118572.0,1569189995.0,78617.0,210145581.0,39955.0,1359044414.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Chambers",34215.0,1545009282.0,17399.0,54790707.0,16816.0,1490218575.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Cherokee",25989.0,1434075952.0,3707.0,26419773.0,22282.0,1407656179.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Chilton",43643.0,1794483586.0,5785.0,17302027.0,37858.0,1777181559.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Choctaw",13859.0,2365954748.0,0.0,0.0,13859.0,2365954748.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Clarke",25833.0,3207609488.0,6205.0,18272532.0,19628.0,3189336956.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Clay",13932.0,1564252280.0,0.0,0.0,13932.0,1564252280.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Cleburne",14972.0,1450652767.0,0.0,0.0,14972.0,1450652767.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Coffee",49948.0,1758528786.0,26375.0,55681252.0,23573.0,1702847534.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Colbert",54428.0,1534877333.0,30537.0,68632610.0,23891.0,1466244723.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Conecuh",13228.0,2201894769.0,2520.0,5598797.0,10708.0,2196295972.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Coosa",11539.0,1685891075.0,0.0,0.0,11539.0,1685891075.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
"Alabama","Covington",37765.0,2668869505.0,11461.0,25954127.0,26304.0,2642915378.0,no,131171.0,70.6,17.1,150.0,733.0,7.1,92.9,14.7,0.0,41951382.0,No
